clip,true,pred,det_frames,total_frames,category
N5_C2_P5_V2_HB_4,0,1,13,270,N5
N5_C2_P5_V3_HB_1,0,1,31,300,N5
N5_C2_P5_V4_HB_2,0,1,9,270,N5
N6_C1_P1_V1_HB_2,0,1,11,175,N6
N6_C1_P1_V1_HB_3,0,0,2,200,N6
N6_C1_P2_V1_HB_2,0,0,0,200,N6
N6_C1_P2_V1_HB_4,0,0,0,225,N6
N6_C1_P4_V1_HB_1,0,1,60,175,N6
N6_C1_P4_V1_HB_4,0,1,95,175,N6
N6_C2_P3_V1_HB_1,0,1,228,240,N6
N6_C2_P3_V1_HB_3,0,1,249,270,N6
N6_C2_P3_V2_HB_1,0,1,199,270,N6
N6_C2_P3_V2_HB_3,0,1,235,270,N6
N6_C2_P5_V1_HB_1,0,1,26,270,N6
N6_C2_P5_V1_HB_2,0,1,45,300,N6
N6_C2_P5_V2_HB_2,0,1,63,300,N6
N6_C2_P5_V2_HB_3,0,1,47,270,N6
N6_C2_P5_V3_HB_1,0,1,25,270,N6
N6_C2_P5_V4_HB_1,0,1,31,330,N6
N7_C1_P1_V1_HB_1,0,0,0,225,N7
N7_C1_P2_V1_HB_2,0,0,0,225,N7
N7_C1_P4_V1_HB_1,0,1,59,175,N7
N7_C2_P3_V1_HB_1,0,1,212,240,N7
N7_C2_P3_V2_HB_2,0,1,225,240,N7
N7_C2_P5_V3_HB_2,0,1,27,300,N7
N7_C2_P5_V4_HB_1,0,1,80,300,N7
N8_C1_P1_V1_HB_1,0,0,2,200,N8
N8_C1_P2_V1_HB_1,0,0,0,225,N8
N8_C1_P2_V1_HB_4,0,1,7,200,N8
N8_C1_P4_V1_HB_1,0,1,60,175,N8
N8_C1_P4_V1_HB_3,0,1,25,150,N8
N8_C2_P3_V1_HB_1,0,1,281,300,N8
N8_C2_P3_V1_HB_4,0,1,265,300,N8
N8_C2_P3_V2_HB_1,0,1,189,270,N8
N8_C2_P3_V2_HB_3,0,1,262,300,N8
N8_C2_P5_V1_HB_2,0,1,21,330,N8
N8_C2_P5_V1_HB_3,0,1,14,330,N8
N8_C2_P5_V2_HB_3,0,1,21,330,N8
N8_C2_P5_V2_HB_4,0,1,29,360,N8
N8_C2_P5_V3_HB_1,0,1,31,420,N8
N8_C2_P5_V4_HB_1,0,1,24,300,N8
N9_C1_P1_V1_HB_1,0,0,3,225,N9
N9_C1_P2_V1_HB_1,0,0,0,300,N9
N9_C1_P4_V1_HB_2,0,1,21,175,N9
N9_C2_P3_V1_HB_2,0,1,280,300,N9
N9_C2_P3_V2_HB_1,0,1,305,360,N9
N9_C2_P5_V1_HB_2,0,1,35,300,N9
N9_C2_P5_V2_HB_1,0,1,5,330,N9
N9_C2_P5_V3_HB_1,0,1,70,450,N9
N9_C2_P5_V4_HB_2,0,1,25,330,N9
