clip,true,pred,det_frames,total_frames,no_person,no_mask,category
PAH4_C2_P5_V1_HB_3,1,1,57,270,88,0,POS
PAH4_C2_P5_V2_HB_1,1,1,73,270,72,0,POS
PAH4_C2_P5_V2_HB_2,1,1,117,270,57,0,POS
PAH5_C1_P1_V1_HB_2,1,1,6,200,74,0,POS
PAH5_C1_P2_V1_HB_1,1,1,39,275,88,0,POS
PAH5_C1_P4_V1_HB_2,1,1,35,175,59,0,POS
PAH5_C2_P3_V1_HB_2,1,1,33,300,127,0,POS
PAH5_C2_P3_V2_HB_1,1,1,37,300,116,0,POS
PAH5_C2_P5_V1_HB_2,1,1,146,300,95,0,POS
PAH5_C2_P5_V2_HB_1,1,1,132,270,72,0,POS
PAH6_C1_P1_V1_HB_2,1,1,17,175,53,0,POS
PAH6_C1_P2_V1_HB_2,1,1,5,250,129,0,POS
PAH6_C1_P4_V1_HB_1,1,1,22,200,81,0,POS
PAH6_C2_P3_V1_HB_1,1,1,71,270,95,0,POS
PAH6_C2_P3_V2_HB_1,1,1,61,330,127,0,POS
PAH6_C2_P5_V1_HB_1,1,1,54,270,82,0,POS
PAH6_C2_P5_V2_HB_1,1,1,56,270,85,0,POS
PAH7_C1_P1_V1_HB_2,1,1,25,200,65,0,POS
PAH7_C1_P2_V1_HB_1,1,1,30,300,100,0,POS
PAH7_C2_P3_V1_HB_2,1,1,16,240,83,0,POS
PAH7_C2_P3_V2_HB_1,1,1,32,270,94,0,POS
PAH7_C2_P5_V1_HB_2,1,1,164,300,58,0,POS
PAH7_C2_P5_V2_HB_1,1,1,102,300,97,0,POS
PAH8_C1_P1_V1_HB_1,1,0,4,200,68,0,POS
PAH8_C1_P2_V1_HB_2,1,0,0,225,117,0,POS
PAH8_C1_P4_V1_HB_2,1,1,24,175,59,0,POS
PAH8_C2_P3_V1_HB_1,1,1,39,240,81,0,POS
PAH8_C2_P3_V2_HB_1,1,1,37,300,97,0,POS
PAH8_C2_P5_V1_HB_1,1,1,49,300,97,0,POS
PAH8_C2_P5_V2_HB_2,1,1,151,330,79,0,POS
PAH9_C1_P4_V1_HB_1,1,1,37,175,64,0,POS
PAH9_C2_P3_V1_HB_2,1,1,26,300,106,0,POS
PAH9_C2_P3_V2_HB_2,1,1,75,300,77,0,POS
PAH9_C2_P5_V1_HB_2,1,1,163,300,91,0,POS
PAH9_C2_P5_V1_HB_4,1,1,93,270,94,0,POS
PAH9_C2_P5_V2_HB_1,1,1,106,330,73,0,POS
PCH1_C1_P1_V1_HB_1,1,0,0,150,41,0,POS
PCH1_C1_P2_V1_HB_2,1,1,6,225,110,0,POS
PCH1_C1_P2_V1_HB_4,1,1,9,225,86,0,POS
PCH1_C1_P4_V1_HB_2,1,1,5,125,25,0,POS
PCH1_C1_P4_V1_HB_4,1,0,0,150,57,0,POS
PCH1_C2_P3_V1_HB_1,1,1,8,240,69,0,POS
PCH1_C2_P3_V1_HB_2,1,1,11,270,82,0,POS
PCH1_C2_P3_V2_HB_2,1,1,28,210,62,0,POS
PCH1_C2_P3_V2_HB_3,1,1,32,270,95,0,POS
PCH1_C2_P5_V1_HB_2,1,1,37,300,110,0,POS
PCH1_C2_P5_V1_HB_4,1,1,5,270,70,0,POS
PCH1_C2_P5_V2_HB_2,1,1,14,270,70,0,POS
PCH1_C2_P5_V2_HB_4,1,0,4,270,75,0,POS
PCH2_C1_P1_V1_HB_1,1,1,12,200,68,0,POS
PCH2_C1_P2_V1_HB_2,1,1,21,225,124,0,POS
PCH2_C1_P4_V1_HB_2,1,1,8,150,59,0,POS
PCH2_C2_P3_V1_HB_2,1,1,54,240,87,0,POS
PCH2_C2_P3_V2_HB_1,1,1,24,270,80,0,POS
PCH2_C2_P5_V1_HB_2,1,1,98,300,83,0,POS
PCH2_C2_P5_V2_HB_2,1,1,45,270,58,0,POS
PCH3_C1_P1_V1_HB_1,1,0,1,175,50,0,POS
PCH3_C1_P2_V1_HB_1,1,1,12,250,94,0,POS
PCH3_C1_P4_V1_HB_1,1,1,8,125,36,0,POS
PCH3_C2_P3_V1_HB_1,1,1,5,210,61,0,POS
PCH3_C2_P3_V2_HB_1,1,1,10,300,98,0,POS
PCH3_C2_P5_V1_HB_1,1,1,22,240,67,0,POS
PCH3_C2_P5_V2_HB_1,1,1,46,270,75,0,POS
PCH4_C1_P1_V1_HB_1,1,1,55,225,64,0,POS
PCH4_C1_P2_V1_HB_2,1,0,2,225,121,0,POS
PCH4_C1_P4_V1_HB_2,1,0,4,150,50,0,POS
PCH4_C2_P3_V1_HB_1,1,1,10,300,127,0,POS
PCH4_C2_P3_V2_HB_1,1,1,7,270,75,0,POS
PCH4_C2_P5_V1_HB_2,1,1,62,300,67,0,POS
PCH4_C2_P5_V2_HB_2,1,1,41,300,69,0,POS
PCH5_C1_P2_V1_HB_1,1,1,20,250,105,0,POS
PCH5_C1_P4_V1_HB_2,1,1,28,125,40,0,POS
PCH5_C2_P3_V1_HB_1,1,1,6,270,89,0,POS
PCH5_C2_P3_V2_HB_1,1,1,5,270,97,0,POS
PCH5_C2_P5_V1_HB_2,1,1,62,300,70,0,POS
PCH5_C2_P5_V2_HB_2,1,1,29,330,99,0,POS
PCH6_C1_P1_V1_HB_1,1,1,8,225,101,0,POS
PCH6_C1_P2_V1_HB_2,1,0,0,225,120,0,POS
PCH6_C1_P4_V1_HB_2,1,1,24,150,53,0,POS
PCH6_C2_P3_V1_HB_2,1,0,3,300,118,0,POS
PCH6_C2_P3_V2_HB_2,1,1,10,270,91,0,POS
PCH6_C2_P5_V1_HB_1,1,1,105,300,123,0,POS
PCH6_C2_P5_V2_HB_1,1,1,9,300,103,0,POS
PCH7_C1_P1_V1_HB_2,1,0,0,175,29,0,POS
PCH7_C1_P2_V1_HB_1,1,1,11,275,120,0,POS
PCH7_C1_P4_V1_HB_2,1,1,12,150,51,0,POS
PCH7_C2_P3_V1_HB_2,1,0,2,300,107,0,POS
PCH7_C2_P3_V2_HB_2,1,1,6,240,53,0,POS
PCH7_C2_P5_V1_HB_2,1,1,25,300,91,0,POS
PCH7_C2_P5_V2_HB_2,1,1,23,300,60,0,POS
N10_C1_P1_V1_HB_1,0,0,0,175,60,0,N10
N10_C1_P2_V1_HB_1,0,1,6,250,88,0,N10
N10_C1_P4_V1_HB_2,0,1,14,150,56,0,N10
N10_C2_P3_V1_HB_2,0,1,20,270,96,0,N10
N10_C2_P3_V2_HB_2,0,0,2,210,47,0,N10
N10_C2_P5_V1_HB_1,0,1,9,270,87,0,N10
N10_C2_P5_V2_HB_1,0,1,5,270,88,0,N10
N10_C2_P5_V3_HB_1,0,1,9,270,53,0,N10
N10_C2_P5_V4_HB_2,0,1,43,300,62,0,N10
N11_C1_P1_V1_HB_1,0,0,1,200,84,0,N11
N11_C1_P2_V1_HB_2,0,1,6,225,95,0,N11
N11_C1_P4_V1_HB_2,0,1,9,150,47,0,N11
N11_C2_P3_V1_HB_2,0,1,10,270,96,0,N11
N11_C2_P3_V2_HB_2,0,1,6,270,89,0,N11
N11_C2_P5_V1_HB_2,0,1,9,300,80,0,N11
N11_C2_P5_V2_HB_1,0,0,4,270,74,0,N11
N11_C2_P5_V3_HB_1,0,0,2,450,61,0,N11
N11_C2_P5_V4_HB_1,0,1,11,240,46,0,N11
N12_C1_P1_V1_HB_1,0,0,1,225,116,0,N12
N12_C1_P2_V1_HB_1,0,0,0,200,72,0,N12
N12_C1_P2_V1_HB_2,0,0,1,200,81,0,N12
N12_C1_P4_V1_HB_1,0,1,25,150,58,0,N12
N12_C2_P3_V1_HB_2,0,1,9,240,88,0,N12
N12_C2_P5_V1_HB_1,0,1,8,270,105,0,N12
N12_C2_P5_V2_HB_2,0,1,5,240,55,0,N12
N12_C2_P5_V2_HB_3,0,1,63,270,63,0,N12
N12_C2_P5_V3_HB_1,0,1,16,270,62,0,N12
N12_C2_P5_V4_HB_2,0,1,14,270,48,0,N12
N1_C1_P1_V1_HB_1,0,0,1,175,71,0,N1
N1_C1_P2_V1_HB_1,0,0,3,200,53,0,N1
N1_C1_P4_V1_HB_1,0,1,19,150,60,0,N1
N1_C2_P3_V1_HB_2,0,0,1,240,54,0,N1
N1_C2_P3_V2_HB_1,0,1,9,270,96,0,N1
N1_C2_P5_V1_HB_1,0,1,6,240,78,0,N1
N1_C2_P5_V2_HB_1,0,1,13,240,73,0,N1
N1_C2_P5_V3_HB_2,0,1,6,360,67,0,N1
N1_C2_P5_V4_HB_2,0,1,9,270,85,0,N1
N2_C1_P1_V1_HB_1,0,0,1,125,59,0,N2
N2_C1_P2_V1_HB_1,0,1,6,250,107,0,N2
N2_C1_P4_V1_HB_2,0,1,33,125,58,0,N2
N2_C2_P3_V1_HB_2,0,0,3,210,106,0,N2
N2_C2_P3_V2_HB_1,0,1,11,210,86,0,N2
N2_C2_P5_V1_HB_1,0,0,2,210,79,0,N2
N2_C2_P5_V2_HB_1,0,1,20,240,99,0,N2
N2_C2_P5_V3_HB_2,0,1,7,240,81,0,N2
N2_C2_P5_V4_HB_2,0,1,8,240,52,0,N2
N3_C1_P1_V1_HB_1,0,0,0,125,90,0,N3
N3_C1_P2_V1_HB_2,0,1,6,175,71,0,N3
N3_C2_P3_V1_HB_1,0,1,16,210,117,0,N3
N3_C2_P3_V2_HB_1,0,0,4,210,109,0,N3
N3_C2_P5_V1_HB_1,0,1,6,210,96,0,N3
N3_C2_P5_V2_HB_1,0,1,12,180,66,0,N3
N3_C2_P5_V3_HB_1,0,0,0,180,69,0,N3
N3_C2_P5_V4_HB_1,0,1,9,210,75,0,N3
N4_C1_P1_V1_HB_1,0,0,0,200,91,0,N4
N4_C1_P2_V1_HB_1,0,1,8,250,107,0,N4
N4_C1_P4_V1_HB_1,0,1,31,150,49,0,N4
N4_C2_P3_V1_HB_2,0,1,17,240,88,0,N4
N4_C2_P3_V2_HB_1,0,0,1,210,61,0,N4
N4_C2_P5_V1_HB_1,0,0,4,270,87,0,N4
N4_C2_P5_V2_HB_1,0,0,2,270,80,0,N4
N5_C1_P1_V1_HB_2,0,0,2,200,70,0,N5
N5_C1_P2_V1_HB_1,0,0,1,250,87,0,N5
N5_C1_P4_V1_HB_2,0,0,3,150,43,0,N5
N5_C1_P4_V1_HB_4,0,1,16,175,69,0,N5
N5_C2_P5_V1_HB_1,0,1,7,300,114,0,N5
N5_C2_P5_V1_HB_3,0,1,11,270,77,0,N5
N5_C2_P5_V2_HB_1,0,1,15,270,94,0,N5
N5_C2_P5_V2_HB_4,0,0,2,270,64,0,N5
N5_C2_P5_V3_HB_1,0,0,3,300,95,0,N5
N5_C2_P5_V4_HB_2,0,1,6,270,82,0,N5
N6_C1_P1_V1_HB_2,0,0,2,175,56,0,N6
N6_C1_P1_V1_HB_3,0,0,1,200,83,0,N6
N6_C1_P2_V1_HB_2,0,1,6,200,88,0,N6
N6_C1_P2_V1_HB_4,0,0,2,225,96,0,N6
N6_C1_P4_V1_HB_1,0,1,45,175,69,0,N6
N6_C1_P4_V1_HB_4,0,1,38,175,72,0,N6
N6_C2_P3_V1_HB_1,0,0,1,240,75,0,N6
N6_C2_P3_V1_HB_3,0,1,5,270,104,0,N6
N6_C2_P3_V2_HB_1,0,1,8,270,103,0,N6
N6_C2_P3_V2_HB_3,0,1,5,270,88,0,N6
N6_C2_P5_V1_HB_1,0,1,19,270,78,0,N6
N6_C2_P5_V1_HB_2,0,1,40,300,92,0,N6
N6_C2_P5_V2_HB_2,0,1,88,300,89,0,N6
N6_C2_P5_V2_HB_3,0,0,4,270,71,0,N6
N6_C2_P5_V3_HB_1,0,1,8,270,65,0,N6
N6_C2_P5_V4_HB_1,0,1,8,330,93,0,N6
N7_C1_P1_V1_HB_1,0,0,1,225,97,0,N7
N7_C1_P2_V1_HB_2,0,0,0,225,91,0,N7
N7_C1_P4_V1_HB_1,0,1,15,175,73,0,N7
N7_C2_P3_V1_HB_1,0,1,6,240,80,0,N7
N7_C2_P3_V2_HB_2,0,1,13,240,61,0,N7
N7_C2_P5_V3_HB_2,0,0,3,300,82,0,N7
N7_C2_P5_V4_HB_1,0,1,21,300,49,0,N7
N8_C1_P1_V1_HB_1,0,0,3,200,67,0,N8
N8_C1_P2_V1_HB_1,0,0,1,225,56,0,N8
N8_C1_P2_V1_HB_4,0,0,2,200,51,0,N8
N8_C1_P4_V1_HB_1,0,1,23,175,56,0,N8
N8_C1_P4_V1_HB_3,0,1,28,150,46,0,N8
N8_C2_P3_V1_HB_1,0,0,3,300,105,0,N8
N8_C2_P3_V1_HB_4,0,1,5,300,106,0,N8
N8_C2_P3_V2_HB_1,0,0,4,270,63,0,N8
N8_C2_P3_V2_HB_3,0,1,13,300,63,0,N8
N8_C2_P5_V1_HB_2,0,1,16,330,105,0,N8
N8_C2_P5_V1_HB_3,0,1,10,330,100,0,N8
N8_C2_P5_V2_HB_3,0,1,15,330,83,0,N8
N8_C2_P5_V2_HB_4,0,1,65,360,109,0,N8
N8_C2_P5_V3_HB_1,0,1,41,420,91,0,N8
N8_C2_P5_V4_HB_1,0,1,8,300,67,0,N8
N9_C1_P1_V1_HB_1,0,0,0,225,100,0,N9
N9_C1_P2_V1_HB_1,0,0,0,300,144,0,N9
N9_C1_P4_V1_HB_2,0,1,12,175,47,0,N9
N9_C2_P3_V1_HB_2,0,1,12,300,93,0,N9
N9_C2_P3_V2_HB_1,0,1,8,360,79,0,N9
N9_C2_P5_V1_HB_2,0,1,40,300,64,0,N9
N9_C2_P5_V2_HB_1,0,1,5,330,87,0,N9
N9_C2_P5_V3_HB_1,0,0,1,450,105,0,N9
N9_C2_P5_V4_HB_2,0,1,15,330,66,0,N9
