clip,true,pred,det_frames,total_frames,category
PCH7_C1_P4_V1_HB_2,1,1,143,150,POS
PCH7_C2_P3_V1_HB_2,1,1,14,300,POS
PCH7_C2_P3_V2_HB_2,1,1,7,240,POS
PCH7_C2_P5_V1_HB_2,1,1,52,300,POS
PCH7_C2_P5_V2_HB_2,1,1,32,300,POS
N10_C1_P1_V1_HB_1,0,1,11,175,N10
N10_C1_P2_V1_HB_1,0,0,3,250,N10
N10_C1_P4_V1_HB_2,0,1,140,150,N10
N10_C2_P3_V1_HB_2,0,0,2,270,N10
N10_C2_P3_V2_HB_2,0,0,0,210,N10
N10_C2_P5_V1_HB_1,0,0,2,270,N10
N10_C2_P5_V2_HB_1,0,1,6,270,N10
N10_C2_P5_V3_HB_1,0,0,4,270,N10
N10_C2_P5_V4_HB_2,0,0,3,300,N10
N11_C1_P1_V1_HB_1,0,0,2,200,N11
N11_C1_P2_V1_HB_2,0,1,31,225,N11
N11_C1_P4_V1_HB_2,0,1,141,150,N11
N11_C2_P3_V1_HB_2,0,0,1,270,N11
N11_C2_P3_V2_HB_2,0,0,0,270,N11
N11_C2_P5_V1_HB_2,0,0,1,300,N11
N11_C2_P5_V2_HB_1,0,0,3,270,N11
N11_C2_P5_V3_HB_1,0,0,2,450,N11
N11_C2_P5_V4_HB_1,0,0,0,240,N11
N12_C1_P1_V1_HB_1,0,0,4,225,N12
N12_C1_P2_V1_HB_1,0,0,0,200,N12
N12_C1_P2_V1_HB_2,0,0,2,200,N12
N12_C1_P4_V1_HB_1,0,1,138,150,N12
N12_C2_P3_V1_HB_2,0,0,4,240,N12
N12_C2_P5_V1_HB_1,0,0,0,270,N12
N12_C2_P5_V2_HB_2,0,0,4,240,N12
N12_C2_P5_V2_HB_3,0,1,11,270,N12
N12_C2_P5_V3_HB_1,0,0,1,270,N12
N12_C2_P5_V4_HB_2,0,0,2,270,N12
N1_C1_P1_V1_HB_1,0,0,3,175,N1
N1_C1_P2_V1_HB_1,0,0,0,200,N1
N1_C1_P4_V1_HB_1,0,1,142,150,N1
N1_C2_P3_V1_HB_2,0,1,6,240,N1
N1_C2_P3_V2_HB_1,0,0,1,270,N1
N1_C2_P5_V1_HB_1,0,0,2,240,N1
N1_C2_P5_V2_HB_1,0,0,2,240,N1
N1_C2_P5_V3_HB_2,0,0,1,360,N1
N1_C2_P5_V4_HB_2,0,1,5,270,N1
N2_C1_P1_V1_HB_1,0,0,4,125,N2
N2_C1_P2_V1_HB_1,0,0,2,250,N2
N2_C1_P4_V1_HB_2,0,1,119,125,N2
N2_C2_P3_V1_HB_2,0,0,4,210,N2
N2_C2_P3_V2_HB_1,0,0,0,210,N2
N2_C2_P5_V1_HB_1,0,1,6,210,N2
N2_C2_P5_V2_HB_1,0,1,14,240,N2
N2_C2_P5_V3_HB_2,0,0,2,240,N2
N2_C2_P5_V4_HB_2,0,0,0,240,N2
N3_C1_P1_V1_HB_1,0,0,0,125,N3
N3_C1_P2_V1_HB_2,0,0,0,175,N3
N3_C2_P3_V1_HB_1,0,0,2,210,N3
N3_C2_P3_V2_HB_1,0,0,0,210,N3
N3_C2_P5_V1_HB_1,0,0,1,210,N3
N3_C2_P5_V2_HB_1,0,0,2,180,N3
N3_C2_P5_V3_HB_1,0,1,7,180,N3
N3_C2_P5_V4_HB_1,0,0,2,210,N3
N4_C1_P1_V1_HB_1,0,0,0,200,N4
N4_C1_P2_V1_HB_1,0,0,0,250,N4
N4_C1_P4_V1_HB_1,0,1,138,150,N4
N4_C2_P3_V1_HB_2,0,1,5,240,N4
N4_C2_P3_V2_HB_1,0,0,1,210,N4
N4_C2_P5_V1_HB_1,0,1,10,270,N4
N4_C2_P5_V2_HB_1,0,1,8,270,N4
N5_C1_P1_V1_HB_2,0,1,12,200,N5
N5_C1_P2_V1_HB_1,0,0,2,250,N5
N5_C1_P4_V1_HB_2,0,1,142,150,N5
N5_C1_P4_V1_HB_4,0,1,161,175,N5
N5_C2_P5_V1_HB_1,0,1,18,300,N5
N5_C2_P5_V1_HB_3,0,1,17,270,N5
N5_C2_P5_V2_HB_1,0,1,7,270,N5
N5_C2_P5_V2_HB_4,0,1,9,270,N5
N5_C2_P5_V3_HB_1,0,0,1,300,N5
N5_C2_P5_V4_HB_2,0,0,1,270,N5
N6_C1_P1_V1_HB_2,0,1,7,175,N6
N6_C1_P1_V1_HB_3,0,1,16,200,N6
N6_C1_P2_V1_HB_2,0,0,0,200,N6
N6_C1_P2_V1_HB_4,0,0,2,225,N6
N6_C1_P4_V1_HB_1,0,1,160,175,N6
N6_C1_P4_V1_HB_4,0,1,166,175,N6
N6_C2_P3_V1_HB_1,0,0,1,240,N6
N6_C2_P3_V1_HB_3,0,0,2,270,N6
N6_C2_P3_V2_HB_1,0,1,6,270,N6
N6_C2_P3_V2_HB_3,0,0,1,270,N6
N6_C2_P5_V1_HB_1,0,1,35,270,N6
N6_C2_P5_V1_HB_2,0,1,36,300,N6
N6_C2_P5_V2_HB_2,0,1,23,300,N6
N6_C2_P5_V2_HB_3,0,1,45,270,N6
N6_C2_P5_V3_HB_1,0,0,1,270,N6
N6_C2_P5_V4_HB_1,0,0,3,330,N6
N7_C1_P1_V1_HB_1,0,0,1,225,N7
N7_C1_P2_V1_HB_2,0,0,0,225,N7
N7_C1_P4_V1_HB_1,0,1,159,175,N7
N7_C2_P3_V1_HB_1,0,1,8,240,N7
N7_C2_P3_V2_HB_2,0,0,3,240,N7
N7_C2_P5_V3_HB_2,0,1,9,300,N7
N7_C2_P5_V4_HB_1,0,1,45,300,N7
N8_C1_P1_V1_HB_1,0,0,2,200,N8
N8_C1_P2_V1_HB_1,0,0,4,225,N8
N8_C1_P2_V1_HB_4,0,1,7,200,N8
N8_C1_P4_V1_HB_1,0,1,157,175,N8
N8_C1_P4_V1_HB_3,0,1,131,150,N8
N8_C2_P3_V1_HB_1,0,1,10,300,N8
N8_C2_P3_V1_HB_4,0,1,7,300,N8
N8_C2_P3_V2_HB_1,0,1,7,270,N8
N8_C2_P3_V2_HB_3,0,1,13,300,N8
N8_C2_P5_V1_HB_2,0,1,12,330,N8
N8_C2_P5_V1_HB_3,0,1,11,330,N8
N8_C2_P5_V2_HB_3,0,1,11,330,N8
N8_C2_P5_V2_HB_4,0,1,10,360,N8
N8_C2_P5_V3_HB_1,0,0,4,420,N8
N8_C2_P5_V4_HB_1,0,0,1,300,N8
N9_C1_P1_V1_HB_1,0,1,9,225,N9
N9_C1_P2_V1_HB_1,0,0,3,300,N9
N9_C1_P4_V1_HB_2,0,1,164,175,N9
N9_C2_P3_V1_HB_2,0,0,3,300,N9
N9_C2_P3_V2_HB_1,0,1,6,360,N9
N9_C2_P5_V1_HB_2,0,1,16,300,N9
N9_C2_P5_V2_HB_1,0,1,10,330,N9
N9_C2_P5_V3_HB_1,0,1,9,450,N9
N9_C2_P5_V4_HB_2,0,0,2,330,N9
